”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2016/04/01,7.43,7.95,7.81,47014500
2016/04/02,6.90,6.92,6.70,53013500
2016/04/03,6.27,6.45,6.59,44486500
2016/04/04,7.94,8.93,8.76,44494500
2016/04/05,6.99,7.29,6.85,50281000
2016/04/06,6.79,7.12,7.10,56518500
2016/04/07,8.12,9.27,11.37,49653000
2016/04/08,6.60,7.09,6.94,56679000
2016/04/09,6.08,6.06,5.73,45716000
2016/04/10,5.75,5.78,5.09,36844000
2016/04/11,6.39,6.96,6.67,49250500
2016/04/12,6.62,6.96,6.70,51476000
2016/04/13,7.78,8.76,9.54,45047000
2016/04/14,7.17,7.81,7.66,48397000
2016/04/15,6.49,6.94,6.45,47499500
2016/04/16,5.68,5.71,5.28,46149000
2016/04/17,6.00,6.10,5.51,36290000
2016/04/18,7.01,8.00,9.28,40305500
2016/04/19,6.64,7.04,6.73,48558000
2016/04/20,6.55,6.89,6.80,48368000
2016/04/21,7.76,8.90,9.75,46785500
2016/04/22,6.81,7.20,7.22,49460000
2016/04/23,5.69,5.80,5.58,43675500
2016/04/24,5.54,5.57,5.36,46377000
2016/04/25,6.96,7.74,7.75,46439000
2016/04/26,7.06,7.68,7.57,54866500
2016/04/27,8.37,9.81,11.76,50808500
2016/04/28,8.57,10.04,11.76,39185000
2016/04/29,6.48,6.55,6.41,42448500
2016/04/30,6.32,6.26,5.68,38982500
2016/05/01,6.15,6.12,5.31,35758500
2016/05/02,7.31,8.05,7.74,51049500
2016/05/03,6.48,6.84,6.72,35677500
2016/05/04,5.94,5.86,4.83,34303000
2016/05/05,5.78,5.83,4.89,38118500
2016/05/06,7.89,9.40,10.99,38278000
2016/05/07,6.59,6.99,6.53,44729000
2016/05/08,5.80,5.68,5.09,42122500
2016/05/09,7.47,8.87,9.79,42818500
2016/05/10,7.70,9.07,9.59,48556500
2016/05/11,7.64,8.91,9.27,43799000
2016/05/12,6.46,7.21,6.61,41261000
2016/05/13,7.18,7.95,8.23,48705500
2016/05/14,5.54,5.61,5.39,37555000
2016/05/15,5.28,5.54,5.26,32498500
2016/05/16,8.04,10.05,11.88,48120500
2016/05/17,6.83,7.63,7.55,45467000
2016/05/18,6.32,6.94,6.62,46917000
2016/05/19,6.54,7.43,7.50,47669500
2016/05/20,6.70,7.49,8.23,46056000
2016/05/21,5.54,5.62,5.37,41937000
2016/05/22,5.62,5.57,4.85,35511000
2016/05/23,7.01,8.28,8.22,49860500
2016/05/24,8.18,9.95,12.01,56897000
2016/05/25,8.15,9.96,11.04,57241500
2016/05/26,9.25,11.73,15.67,54809500
2016/05/27,7.63,8.77,9.25,56470500
2016/05/28,6.56,7.12,7.10,47180000
2016/05/29,6.55,7.00,6.48,39546000
2016/05/30,7.64,9.10,9.05,48531500
2016/05/31,7.86,9.35,9.80,50884500
2016/06/01,8.08,9.84,12.16,50488500
2016/06/02,7.29,8.40,7.63,52093500
2016/06/03,7.36,8.60,8.95,47209000
2016/06/04,6.37,7.00,7.45,42011000
2016/06/05,6.11,6.46,5.91,40467500
2016/06/06,8.26,9.97,12.46,49495500
2016/06/07,7.95,9.37,9.81,51881500
2016/06/08,8.53,10.44,12.58,51083000
2016/06/09,8.17,9.86,12.46,53606500
2016/06/10,7.45,8.56,9.86,58141000
2016/06/11,6.40,6.82,6.37,54440000
2016/06/12,6.19,6.54,6.17,38150000
2016/06/13,8.73,11.15,13.25,49643000
2016/06/14,7.51,9.09,10.60,52695500
2016/06/15,8.37,10.29,12.74,57983500
2016/06/16,8.69,11.00,15.43,58030000
2016/06/17,9.84,12.64,16.39,55792500
2016/06/18,6.77,7.45,8.27,48579500
2016/06/19,6.37,7.07,6.80,36789500
2016/06/20,10.40,13.74,19.26,51151500
2016/06/21,9.48,11.99,16.61,52642000
2016/06/22,8.68,11.01,12.76,59554500
2016/06/23,8.90,11.32,13.68,62881500
2016/06/24,8.49,10.67,12.02,64844000
2016/06/25,6.57,7.64,8.58,43540000
2016/06/26,5.86,6.35,5.24,44639000
2016/06/27,8.06,10.06,11.35,52192000
2016/06/28,7.96,9.87,11.28,59646000
2016/06/29,7.71,9.69,11.45,63807000
2016/06/30,7.84,9.66,11.28,58805500
2016/07/01,7.86,9.50,10.26,54450500
2016/07/02,6.26,6.79,7.14,49916000
2016/07/03,6.32,6.89,5.91,47933500
2016/07/04,9.46,12.34,17.69,55476000
2016/07/05,10.18,13.17,15.39,57821000
2016/07/06,9.59,12.29,15.23,69128000
2016/07/07,11.99,15.80,21.81,62746500
2016/07/08,10.40,13.63,18.07,71049000
2016/07/09,7.42,8.72,9.36,62447500
2016/07/10,6.24,6.83,6.21,56027000
2016/07/11,9.20,11.94,13.12,72505500
2016/07/12,8.89,11.15,12.16,70897500
2016/07/13,9.51,12.21,13.73,70152500
2016/07/14,9.68,12.60,15.10,69734500
2016/07/15,8.10,9.92,11.88,69827000
2016/07/16,6.15,6.67,6.70,62491000
2016/07/17,6.17,6.78,6.30,57150000
2016/07/18,7.05,8.20,8.43,53510500
2016/07/19,8.01,9.75,10.69,69396000
2016/07/20,8.25,10.03,10.63,67982000
2016/07/21,8.90,11.04,12.18,65185500
2016/07/22,7.97,9.70,11.01,66591500
2016/07/23,5.99,6.20,6.41,53870500
2016/07/24,6.17,6.60,6.49,52382000
2016/07/25,8.25,10.20,12.05,67378000
2016/07/26,8.02,9.73,11.11,65993500
2016/07/27,8.86,10.87,11.22,69085500
2016/07/28,8.74,11.04,13.63,69041500
2016/07/29,8.75,10.92,13.07,70092500
2016/07/30,7.02,7.86,8.82,55932500
2016/07/31,6.32,6.83,6.49,50685500
2016/08/01,8.59,10.69,12.08,70674000
2016/08/02,9.32,11.72,15.25,72268500
2016/08/03,9.47,11.91,14.57,73210500
2016/08/04,9.98,12.79,15.98,71081000
2016/08/05,9.44,12.05,16.07,68029000
2016/08/06,7.36,8.44,9.86,61798500
2016/08/07,6.43,6.83,6.58,64878000
2016/08/08,13.11,18.21,23.19,62551500
2016/08/09,10.86,14.15,18.05,70662000
2016/08/10,11.19,14.50,19.98,64088000
2016/08/11,6.93,7.89,8.09,67559000
2016/08/12,7.73,9.23,10.53,65485500
2016/08/13,6.77,7.55,6.95,58425000
2016/08/14,6.47,6.99,6.86,48306000
2016/08/15,7.26,8.54,9.81,57858500
2016/08/16,7.37,8.70,9.62,57618500
2016/08/17,8.30,10.23,11.78,74081000
2016/08/18,9.65,12.33,15.42,69016500
2016/08/19,9.63,12.26,14.35,74805000
2016/08/20,7.15,8.15,8.76,61693000
2016/08/21,6.82,7.77,6.85,52238500
2016/08/22,11.23,15.16,21.12,65986500
2016/08/23,9.74,12.67,16.08,68849500
2016/08/24,9.89,12.55,16.13,69591500
2016/08/25,9.07,11.43,14.10,70174500
2016/08/26,10.37,13.39,16.71,66778500
2016/08/27,7.35,8.48,9.51,65273000
2016/08/28,6.29,6.82,6.86,59977000
2016/08/29,8.99,11.56,15.34,73160000
2016/08/30,7.98,9.72,11.88,71485000
2016/08/31,8.33,10.28,13.55,71011000
2016/09/01,9.20,12.01,15.28,68362500
2016/09/02,8.42,10.35,13.57,68157500
2016/09/03,6.55,7.33,8.00,61450000
2016/09/04,6.38,7.06,6.91,51674500
2016/09/05,8.96,11.44,14.29,67214500
2016/09/06,8.60,10.75,14.03,74042500
2016/09/07,9.89,12.80,15.79,67877500
2016/09/08,8.80,11.08,12.09,79431500
2016/09/09,9.06,11.45,13.68,76771500
2016/09/10,6.34,6.95,6.87,57481500
2016/09/11,5.99,6.50,6.17,56129000
2016/09/12,8.98,11.62,13.64,69286500
2016/09/13,9.49,12.20,15.57,62130500
2016/09/14,9.19,11.65,14.01,66681000
2016/09/15,8.94,11.30,12.52,65683500
2016/09/16,9.26,11.86,12.93,64838500
2016/09/17,7.07,8.24,9.02,58912500
2016/09/18,5.99,6.58,6.42,48176000
2016/09/19,6.77,7.77,8.45,53753500
2016/09/20,8.39,10.91,13.34,70733000
2016/09/21,7.72,9.33,12.00,71058500
2016/09/22,6.29,7.06,7.71,55448000
2016/09/23,8.43,10.48,12.56,61406500
2016/09/24,6.19,6.82,6.90,54136500
2016/09/25,5.74,6.12,5.78,49672500
2016/09/26,8.25,10.42,12.43,68051000
2016/09/27,8.45,10.58,13.45,63926500
2016/09/28,9.05,11.50,13.79,65369500
2016/09/29,7.74,9.29,10.42,66011500
2016/09/30,7.41,8.83,10.01,65708000
2016/10/01,6.60,7.48,7.44,67098500
2016/10/02,6.06,6.61,6.03,58757500
2016/10/03,9.26,11.81,13.85,71854500
2016/10/04,10.73,13.49,16.58,66895500
2016/10/05,8.96,10.99,11.75,66649000
2016/10/06,8.57,10.44,12.11,70703000
2016/10/07,7.29,8.29,9.74,68156500
2016/10/08,7.41,8.58,9.46,58899000
2016/10/09,7.03,7.63,6.51,50405500
2016/10/10,6.87,7.70,7.07,52302000
2016/10/11,7.93,9.51,11.63,61391000
2016/10/12,7.69,8.96,10.30,62545000
2016/10/13,7.86,9.32,11.22,63332500
2016/10/14,7.26,8.17,7.93,59747000
2016/10/15,6.35,6.44,6.01,54028500
2016/10/16,6.26,6.39,6.21,48904000
2016/10/17,7.62,8.87,9.68,65190500
2016/10/18,7.72,8.96,10.79,61836500
2016/10/19,7.84,8.89,9.39,63490500
2016/10/20,7.92,9.01,9.59,63297000
2016/10/21,8.22,9.66,10.84,56593500
2016/10/22,7.39,7.97,7.99,43917000
2016/10/23,6.62,6.89,6.31,39142000
2016/10/24,7.51,8.47,8.21,53055000
2016/10/25,8.03,9.10,10.14,53741000
2016/10/26,8.89,10.37,11.16,53409500
2016/10/27,7.94,8.94,9.37,55166500
2016/10/28,7.99,9.17,10.26,56268500
2016/10/29,6.58,6.73,6.32,44073500
2016/10/30,5.99,6.10,5.45,45873500
2016/10/31,7.40,8.25,8.74,53430000
2016/11/01,7.97,8.78,9.56,57670500
2016/11/02,7.96,8.68,8.72,56985500
2016/11/03,7.22,7.76,6.64,48490000
2016/11/04,8.15,9.07,8.99,52412500
2016/11/05,7.17,7.36,7.03,43590500
2016/11/06,6.85,7.13,5.86,44331000
2016/11/07,8.21,9.31,9.71,48833000
2016/11/08,8.64,9.68,10.77,57943500
2016/11/09,8.57,9.19,9.09,58947500
2016/11/10,9.92,10.84,11.12,56427500
2016/11/11,8.86,9.84,9.67,55874500
2016/11/12,7.42,7.63,6.72,46260000
2016/11/13,6.82,6.87,6.34,45344000
2016/11/14,7.93,9.25,9.86,62422500
2016/11/15,8.25,8.92,8.18,57999500
2016/11/16,8.53,9.33,8.63,58340000
2016/11/17,8.60,9.65,8.78,56965500
2016/11/18,8.71,9.80,9.23,59769000
2016/11/19,7.87,8.60,8.13,46184500
2016/11/20,6.46,6.77,6.40,52854500
2016/11/21,8.14,9.65,9.84,60151000
2016/11/22,8.25,9.33,8.25,61506000
2016/11/23,7.69,8.60,7.96,64801500
2016/11/24,10.16,12.42,11.19,62292500
2016/11/25,9.97,11.52,10.23,66210000
2016/11/26,7.69,8.33,7.51,63176500
2016/11/27,7.41,8.00,7.01,54663500
