”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2018/04/01,6.59,6.38,5.00,339581500
2018/04/02,7.39,7.67,7.39,350261500
2018/04/03,7.55,7.81,7.54,367880500
2018/04/04,7.73,8.21,8.31,373319000
2018/04/05,7.85,8.21,8.28,382187500
2018/04/06,8.62,9.16,9.55,367007000
2018/04/07,7.99,8.21,7.39,360801500
2018/04/08,7.72,7.54,6.16,352795000
2018/04/09,8.59,8.58,7.82,347207000
2018/04/10,8.43,8.16,7.58,377958000
2018/04/11,9.44,10.02,9.27,380821000
2018/04/12,8.17,8.10,7.95,374500500
2018/04/13,8.17,8.19,7.80,370964000
2018/04/14,8.50,8.66,8.56,369019000
2018/04/15,7.83,8.00,6.81,347240000
2018/04/16,8.20,8.39,8.24,365235000
2018/04/17,9.24,9.57,9.70,380201500
2018/04/18,9.09,9.48,8.72,363333000
2018/04/19,8.38,8.16,7.42,377687000
2018/04/20,8.41,8.22,7.67,383240500
2018/04/21,7.60,7.28,6.42,366451500
2018/04/22,7.21,7.13,5.87,354411500
2018/04/23,8.30,8.82,8.87,393275500
2018/04/24,10.15,11.55,12.73,386396000
2018/04/25,9.08,9.80,9.49,384562500
2018/04/26,8.02,8.06,7.54,394814000
2018/04/27,8.65,9.08,8.51,393384000
2018/04/28,7.75,7.48,6.31,354647000
2018/04/29,7.56,7.39,5.97,359805000
2018/04/30,7.77,7.85,6.54,366202000
2018/05/01,8.97,9.50,9.26,366491500
2018/05/02,9.58,10.46,11.19,351496500
2018/05/03,8.59,8.88,7.65,343307000
2018/05/04,7.57,7.42,6.27,354734500
2018/05/05,7.42,7.40,6.13,364217500
2018/05/06,8.09,8.18,7.35,366167500
2018/05/07,10.74,12.41,13.83,371970500
2018/05/08,9.36,10.07,9.76,390834500
2018/05/09,8.91,9.43,9.00,392184500
2018/05/10,8.39,8.50,7.43,389891500
2018/05/11,7.83,7.66,6.85,386058500
2018/05/12,7.42,7.39,6.41,379757000
2018/05/13,7.77,8.13,8.64,363578000
2018/05/14,7.82,8.25,8.13,401609500
2018/05/15,8.49,8.67,8.75,382502500
2018/05/16,8.79,9.22,9.53,386418000
2018/05/17,9.49,10.24,10.54,374701500
2018/05/18,9.64,10.27,10.78,375940500
2018/05/19,8.26,8.36,6.97,361926000
2018/05/20,7.04,7.11,6.24,362026500
2018/05/21,8.30,8.51,8.45,377206000
2018/05/22,8.47,8.98,9.12,387253500
2018/05/23,9.93,11.05,12.39,378409000
2018/05/24,9.05,9.38,9.34,394235500
2018/05/25,9.74,10.57,11.74,393329000
2018/05/26,8.68,8.54,8.47,352393000
2018/05/27,8.28,8.44,8.00,357217000
2018/05/28,9.93,11.01,11.80,373701500
2018/05/29,10.21,11.06,12.29,377580000
2018/05/30,10.21,11.09,12.15,371752000
2018/05/31,9.64,10.26,10.85,381336000
2018/06/01,8.83,8.98,9.21,384775500
2018/06/02,7.74,8.00,6.94,354205000
2018/06/03,8.02,8.45,8.05,342315500
2018/06/04,8.73,9.20,9.28,387605000
2018/06/05,9.97,10.70,11.56,391187500
2018/06/06,10.29,11.14,12.03,389733000
2018/06/07,9.57,10.30,9.96,396542000
2018/06/08,9.87,10.68,11.10,385771000
2018/06/09,9.31,9.93,9.70,372800000
2018/06/10,8.69,9.19,8.98,349530500
2018/06/11,9.68,10.92,11.68,386271000
2018/06/12,9.59,10.44,11.13,395907000
2018/06/13,9.38,9.69,9.69,412315000
2018/06/14,9.15,9.35,9.74,403811500
2018/06/15,9.12,9.49,10.16,402789500
2018/06/16,8.62,8.92,8.52,365009000
2018/06/17,7.87,8.11,7.27,367086000
2018/06/18,9.00,9.91,10.12,392407500
2018/06/19,9.02,9.60,10.20,397981500
2018/06/20,9.40,10.27,10.66,423312000
2018/06/21,9.17,9.97,10.11,424286000
2018/06/22,8.74,9.38,9.54,435916500
2018/06/23,8.78,9.67,10.16,390514500
2018/06/24,7.28,7.53,6.60,375477500
2018/06/25,8.43,9.08,9.33,413683500
2018/06/26,8.88,9.65,9.82,426087500
2018/06/27,9.86,10.96,11.48,408070000
2018/06/28,10.88,12.25,13.58,415409500
2018/06/29,10.85,12.23,13.36,405255000
2018/06/30,9.91,10.73,10.19,392030000
2018/07/01,8.96,9.78,8.98,404269000
2018/07/02,10.84,12.72,14.22,433674500
2018/07/03,11.82,13.32,15.77,445564000
2018/07/04,11.22,12.49,14.03,447031000
2018/07/05,10.95,12.38,14.03,450075000
2018/07/06,10.30,11.32,12.46,451408000
2018/07/07,9.57,10.30,10.05,426817500
2018/07/08,8.30,8.88,8.58,411407000
2018/07/09,9.92,11.43,12.13,451134000
2018/07/10,10.35,11.53,12.81,464231500
2018/07/11,10.78,12.18,13.44,471283500
2018/07/12,10.84,12.26,13.75,470024000
2018/07/13,11.05,12.51,13.59,469763500
2018/07/14,10.44,11.50,11.73,448819500
2018/07/15,10.10,10.82,10.04,436262000
2018/07/16,10.83,12.07,12.36,442488500
2018/07/17,13.09,15.56,17.91,434112500
2018/07/18,15.71,19.38,24.26,470990000
2018/07/19,17.67,22.39,28.24,470949500
2018/07/20,16.07,20.24,23.83,497680000
2018/07/21,11.35,12.47,13.60,436321000
2018/07/22,10.16,11.43,11.03,437703500
2018/07/23,20.92,29.55,40.23,460305000
2018/07/24,26.16,37.77,48.44,455707000
2018/07/25,19.62,26.31,35.00,454657000
2018/07/26,14.97,18.33,19.06,448971000
2018/07/27,12.99,15.48,17.78,452577500
2018/07/28,10.05,10.77,10.80,418877500
2018/07/29,9.72,10.27,9.68,405670000
2018/07/30,11.80,13.68,15.21,436294500
2018/07/31,12.23,14.28,16.69,445983000
2018/08/01,13.22,15.58,18.65,454209000
2018/08/02,15.31,19.47,21.14,457591000
2018/08/03,17.58,22.79,27.25,459174000
2018/08/04,11.44,12.13,13.00,444493000
2018/08/05,11.10,12.37,11.40,424998000
2018/08/06,18.95,25.49,29.71,464041500
2018/08/07,12.78,14.85,15.94,458582500
2018/08/08,12.77,14.70,16.17,461086000
2018/08/09,12.33,14.27,15.35,457832000
2018/08/10,12.65,14.76,16.92,457499000
2018/08/11,10.54,11.86,11.65,425328000
2018/08/12,10.14,10.94,9.79,423535500
2018/08/13,9.93,10.54,10.45,439264500
2018/08/14,9.87,10.68,10.24,439019000
2018/08/15,10.28,11.29,11.14,428474000
2018/08/16,11.35,13.08,14.40,426317500
2018/08/17,9.83,10.80,10.76,460719500
2018/08/18,8.46,9.00,8.99,436226500
2018/08/19,7.66,8.11,7.29,446604000
2018/08/20,10.20,11.79,12.85,453365500
2018/08/21,11.11,13.08,14.05,466226500
2018/08/22,12.59,14.79,16.28,468446500
2018/08/23,16.15,21.19,21.29,465305500
2018/08/24,15.23,19.64,24.30,463989500
2018/08/25,11.63,13.08,13.19,431297000
2018/08/26,11.18,12.95,11.86,458051500
2018/08/27,14.03,17.73,21.17,464719500
2018/08/28,12.97,15.52,17.30,473207000
2018/08/29,11.84,13.65,15.03,472375500
2018/08/30,13.20,15.98,18.61,456534000
2018/08/31,12.99,15.58,19.24,446952000
2018/09/01,11.13,12.36,13.12,446504000
2018/09/02,9.48,10.34,9.97,431525000
2018/09/03,11.24,12.91,13.85,447399000
