”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2019/04/01,7.81,8.10,6.31,699892700
2019/04/02,7.79,8.08,6.30,726801550
2019/04/03,8.35,8.39,6.19,723656000
2019/04/04,7.73,7.62,5.91,730807000
2019/04/05,6.86,6.99,6.14,707244250
2019/04/06,5.72,5.32,3.80,665081200
2019/04/07,5.35,4.91,4.16,641055100
2019/04/08,6.45,7.23,5.73,692678400
2019/04/09,7.30,6.83,5.49,687230650
2019/04/10,13.34,15.73,15.21,705614950
2019/04/11,8.86,9.24,7.16,704557850
2019/04/12,10.55,10.41,9.15,699236700
2019/04/13,8.11,7.09,4.91,654111250
2019/04/14,8.03,8.19,7.83,618793700
2019/04/15,8.12,8.18,6.95,678710200
2019/04/16,8.44,8.21,7.21,696729500
2019/04/17,8.49,8.84,8.61,689991650
2019/04/18,7.75,7.45,6.43,702541000
2019/04/19,8.41,8.92,8.77,692537100
2019/04/20,7.36,6.89,5.18,623284300
2019/04/21,7.06,7.01,6.00,593187250
2019/04/22,7.69,8.09,7.35,677024850
2019/04/23,8.14,8.44,8.18,686399600
2019/04/24,8.50,9.18,9.30,717838650
2019/04/25,8.17,8.80,8.17,723156200
2019/04/26,8.29,8.59,7.84,698860800
2019/04/27,8.01,7.84,6.51,574226550
2019/04/28,7.46,6.87,4.97,556937250
2019/04/29,8.17,8.28,7.11,544253600
2019/04/30,9.19,10.07,9.25,546900350
2019/05/01,8.02,8.45,6.87,534296450
2019/05/02,6.33,5.70,3.97,551787450
2019/05/03,6.04,5.38,3.88,549617050
2019/05/04,5.74,4.95,3.22,538787100
2019/05/05,5.95,5.34,4.41,528427300
2019/05/06,6.75,6.95,5.73,540029050
2019/05/07,7.71,7.86,7.27,659347050
2019/05/08,7.60,7.55,6.58,693311200
2019/05/09,8.53,9.10,9.10,709325350
2019/05/10,8.06,8.45,8.55,708661250
2019/05/11,7.11,7.07,6.46,649636550
2019/05/12,6.50,6.24,5.11,622975750
2019/05/13,7.52,7.63,6.90,719985700
2019/05/14,8.11,8.48,8.16,712840350
2019/05/15,7.94,8.33,8.07,732676600
2019/05/16,7.54,7.83,7.52,738142100
2019/05/17,7.69,8.04,7.66,744236350
2019/05/18,8.04,8.53,8.83,666687950
2019/05/19,6.97,7.09,6.44,660253000
2019/05/20,8.78,9.76,9.99,724038100
2019/05/21,8.34,9.13,9.40,713575450
2019/05/22,7.79,8.14,7.94,729165800
2019/05/23,7.52,7.83,6.88,734862800
2019/05/24,7.45,7.62,7.01,751939600
2019/05/25,7.47,7.36,6.71,682492300
2019/05/26,7.17,7.23,6.27,660218500
2019/05/27,8.87,9.88,10.28,749021450
2019/05/28,9.32,10.36,10.57,733578950
2019/05/29,7.91,8.15,7.25,728971450
