2017/8/18 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4590,11:00～12:00,8/18,8:30,16,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3966,11:00～12:00,8/18,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2017/8/18,0:00,2615,2606,56
2017/8/18,1:00,2434,2424,53
2017/8/18,2:00,2350,2362,51
2017/8/18,3:00,2336,2342,50
2017/8/18,4:00,2358,2355,51
2017/8/18,5:00,2392,2395,52
2017/8/18,6:00,2557,2565,55
2017/8/18,7:00,2851,2891,62
2017/8/18,8:00,3304,3342,71
2017/8/18,9:00,3725,3692,81
2017/8/18,10:00,3944,3847,85
2017/8/18,11:00,4011,3966,87
2017/8/18,12:00,3920,3885,85
2017/8/18,13:00,3990,3936,86
2017/8/18,14:00,3931,3964,85
2017/8/18,15:00,3876,3928,84
2017/8/18,16:00,3867,3926,84
2017/8/18,17:00,3841,3792,83
2017/8/18,18:00,3870,3758,84
2017/8/18,19:00,3783,3665,82
2017/8/18,20:00,3589,3433,78
2017/8/18,21:00,3383,3231,73
2017/8/18,22:00,3255,3097,70
2017/8/18,23:00,3052,2915,66

最大使用率(%),時間帯
87,11:00～12:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4631,13:00～14:00,8/18,17:30,20,83

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4031,14:00～15:00,8/18,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2017/8/18,0:00,2716
2017/8/18,0:05,2679
2017/8/18,0:10,2679
2017/8/18,0:15,2663
2017/8/18,0:20,2642
2017/8/18,0:25,2617
2017/8/18,0:30,2603
2017/8/18,0:35,2602
2017/8/18,0:40,2577
2017/8/18,0:45,2556
2017/8/18,0:50,2536
2017/8/18,0:55,2510
2017/8/18,1:00,2491
2017/8/18,1:05,2490
2017/8/18,1:10,2467
2017/8/18,1:15,2463
2017/8/18,1:20,2447
2017/8/18,1:25,2429
2017/8/18,1:30,2425
2017/8/18,1:35,2419
2017/8/18,1:40,2411
2017/8/18,1:45,2394
2017/8/18,1:50,2395
2017/8/18,1:55,2379
2017/8/18,2:00,2370
2017/8/18,2:05,2373
2017/8/18,2:10,2367
2017/8/18,2:15,2342
2017/8/18,2:20,2351
2017/8/18,2:25,2338
2017/8/18,2:30,2333
2017/8/18,2:35,2346
2017/8/18,2:40,2345
2017/8/18,2:45,2343
2017/8/18,2:50,2349
2017/8/18,2:55,2342
2017/8/18,3:00,2323
2017/8/18,3:05,2332
2017/8/18,3:10,2331
2017/8/18,3:15,2343
2017/8/18,3:20,2331
2017/8/18,3:25,2337
2017/8/18,3:30,2336
2017/8/18,3:35,2326
2017/8/18,3:40,2339
2017/8/18,3:45,2346
2017/8/18,3:50,2343
2017/8/18,3:55,2349
2017/8/18,4:00,2347
2017/8/18,4:05,2342
2017/8/18,4:10,2342
2017/8/18,4:15,2349
2017/8/18,4:20,2363
2017/8/18,4:25,2355
2017/8/18,4:30,2348
2017/8/18,4:35,2362
2017/8/18,4:40,2359
2017/8/18,4:45,2371
2017/8/18,4:50,2376
2017/8/18,4:55,2381
