2018/1/11 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5076,18:00～19:00,1/11,8:30,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4520,18:00～19:00,1/11,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2018/1/11,0:00,3230,3250,63
2018/1/11,1:00,3081,3073,60
2018/1/11,2:00,3018,3013,59
2018/1/11,3:00,2988,2986,58
2018/1/11,4:00,3025,3028,59
2018/1/11,5:00,3235,3232,63
2018/1/11,6:00,3727,3707,73
2018/1/11,7:00,4081,4093,80
2018/1/11,8:00,4294,4337,84
2018/1/11,9:00,4348,4374,85
2018/1/11,10:00,4215,4225,83
2018/1/11,11:00,4104,4078,80
2018/1/11,12:00,3876,3859,76
2018/1/11,13:00,3941,3939,77
2018/1/11,14:00,3943,3926,77
2018/1/11,15:00,3978,3961,78
2018/1/11,16:00,4243,4223,83
2018/1/11,17:00,4559,4517,89
2018/1/11,18:00,4597,4520,90
2018/1/11,19:00,4508,4422,88
2018/1/11,20:00,4394,4313,86
2018/1/11,21:00,4236,4146,83
2018/1/11,22:00,4026,3951,79
2018/1/11,23:00,3767,3698,74

最大使用率(%),時間帯
90,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5088,17:00～18:00,1/11,17:30,8,92

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4714,17:00～18:00,1/11,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2018/1/11,0:00,3345
2018/1/11,0:05,3332
2018/1/11,0:10,3316
2018/1/11,0:15,3288
2018/1/11,0:20,3269
2018/1/11,0:25,3243
2018/1/11,0:30,3221
2018/1/11,0:35,3190
2018/1/11,0:40,3169
2018/1/11,0:45,3143
2018/1/11,0:50,3124
2018/1/11,0:55,3117
2018/1/11,1:00,3111
2018/1/11,1:05,3125
2018/1/11,1:10,3115
2018/1/11,1:15,3095
2018/1/11,1:20,3095
2018/1/11,1:25,3081
2018/1/11,1:30,3065
2018/1/11,1:35,3062
2018/1/11,1:40,3069
2018/1/11,1:45,3052
2018/1/11,1:50,3050
2018/1/11,1:55,3053
2018/1/11,2:00,3047
2018/1/11,2:05,3033
2018/1/11,2:10,3027
2018/1/11,2:15,3023
2018/1/11,2:20,3018
2018/1/11,2:25,3025
2018/1/11,2:30,3021
2018/1/11,2:35,3011
2018/1/11,2:40,3005
2018/1/11,2:45,3005
2018/1/11,2:50,3002
2018/1/11,2:55,2996
2018/1/11,3:00,2995
2018/1/11,3:05,3002
2018/1/11,3:10,2998
2018/1/11,3:15,2986
2018/1/11,3:20,2984
2018/1/11,3:25,2990
2018/1/11,3:30,2985
2018/1/11,3:35,2981
2018/1/11,3:40,2976
2018/1/11,3:45,2985
2018/1/11,3:50,2977
2018/1/11,3:55,2996
2018/1/11,4:00,2996
2018/1/11,4:05,3006
2018/1/11,4:10,3009
2018/1/11,4:15,3004
2018/1/11,4:20,3005
2018/1/11,4:25,3016
2018/1/11,4:30,3027
2018/1/11,4:35,3035
2018/1/11,4:40,3038
2018/1/11,4:45,3035
2018/1/11,4:50,3056
2018/1/11,4:55,3071
2018/1/11,5:00,3090
2018/1/11,5:05,3138
2018/1/11,5:10,3161
2018/1/11,5:15,3171
2018/1/11,5:20,3198
2018/1/11,5:25,3215
2018/1/11,5:30,3241
2018/1/11,5:35,3273
2018/1/11,5:40,3299
2018/1/11,5:45,3316
2018/1/11,5:50,3347
2018/1/11,5:55,3377
2018/1/11,6:00,3444
2018/1/11,6:05,3516
2018/1/11,6:10,3587
2018/1/11,6:15,3608
2018/1/11,6:20,3672
2018/1/11,6:25,3718
2018/1/11,6:30,3756
2018/1/11,6:35,3809
2018/1/11,6:40,3858
2018/1/11,6:45,3894
2018/1/11,6:50,3923
2018/1/11,6:55,3946
2018/1/11,7:00,3961
2018/1/11,7:05,4012
2018/1/11,7:10,4021
2018/1/11,7:15,4031
2018/1/11,7:20,4061
2018/1/11,7:25,4079
2018/1/11,7:30,4074
2018/1/11,7:35,4121
2018/1/11,7:40,4141
2018/1/11,7:45,4150
2018/1/11,7:50,4166
2018/1/11,7:55,4160
2018/1/11,8:00,4184
2018/1/11,8:05,4217
2018/1/11,8:10,4246
2018/1/11,8:15,4273
2018/1/11,8:20,4275
2018/1/11,8:25,4306
2018/1/11,8:30,4306
2018/1/11,8:35,4322
2018/1/11,8:40,4339
2018/1/11,8:45,4345
2018/1/11,8:50,4351
2018/1/11,8:55,4365
2018/1/11,9:00,4358
2018/1/11,9:05,4389
2018/1/11,9:10,4377
2018/1/11,9:15,4374
2018/1/11,9:20,4365
2018/1/11,9:25,4365
2018/1/11,9:30,4343
2018/1/11,9:35,4342
2018/1/11,9:40,4331
2018/1/11,9:45,4328
2018/1/11,9:50,4315
2018/1/11,9:55,4295
2018/1/11,10:00,4275
2018/1/11,10:05,4265
2018/1/11,10:10,4254
2018/1/11,10:15,4254
2018/1/11,10:20,4239
2018/1/11,10:25,4219
2018/1/11,10:30,4202
2018/1/11,10:35,4195
2018/1/11,10:40,4185
2018/1/11,10:45,4178
2018/1/11,10:50,4163
2018/1/11,10:55,4157
2018/1/11,11:00,4147
2018/1/11,11:05,4146
2018/1/11,11:10,4134
2018/1/11,11:15,4130
2018/1/11,11:20,4111
2018/1/11,11:25,4118
2018/1/11,11:30,4096
2018/1/11,11:35,4101
2018/1/11,11:40,4090
2018/1/11,11:45,4073
2018/1/11,11:50,4060
2018/1/11,11:55,4046
2018/1/11,12:00,3999
2018/1/11,12:05,3943
2018/1/11,12:10,3909
2018/1/11,12:15,3894
2018/1/11,12:20,3854
2018/1/11,12:25,3846
2018/1/11,12:30,3832
2018/1/11,12:35,3839
2018/1/11,12:40,3842
2018/1/11,12:45,3833
2018/1/11,12:50,3855
2018/1/11,12:55,3865
2018/1/11,13:00,3904
2018/1/11,13:05,3943
2018/1/11,13:10,3956
2018/1/11,13:15,3957
2018/1/11,13:20,3941
2018/1/11,13:25,3948
2018/1/11,13:30,3950
2018/1/11,13:35,3944
2018/1/11,13:40,3945
2018/1/11,13:45,3933
2018/1/11,13:50,3934
2018/1/11,13:55,3941
2018/1/11,14:00,3944
2018/1/11,14:05,3946
2018/1/11,14:10,3945
2018/1/11,14:15,3945
2018/1/11,14:20,3951
2018/1/11,14:25,3949
2018/1/11,14:30,3936
2018/1/11,14:35,3943
2018/1/11,14:40,3945
2018/1/11,14:45,3948
2018/1/11,14:50,3937
2018/1/11,14:55,3928
2018/1/11,15:00,3923
2018/1/11,15:05,3906
2018/1/11,15:10,3912
2018/1/11,15:15,3930
2018/1/11,15:20,3941
2018/1/11,15:25,3974
2018/1/11,15:30,3990
2018/1/11,15:35,3999
2018/1/11,15:40,4026
2018/1/11,15:45,4033
2018/1/11,15:50,4036
2018/1/11,15:55,4065
2018/1/11,16:00,4092
2018/1/11,16:05,4108
2018/1/11,16:10,4126
2018/1/11,16:15,4164
2018/1/11,16:20,4177
2018/1/11,16:25,4207
2018/1/11,16:30,4247
2018/1/11,16:35,4282
2018/1/11,16:40,4334
2018/1/11,16:45,4364
2018/1/11,16:50,4387
2018/1/11,16:55,4428
2018/1/11,17:00,4468
2018/1/11,17:05,4509
2018/1/11,17:10,4517
2018/1/11,17:15,4542
2018/1/11,17:20,4558
2018/1/11,17:25,4573
2018/1/11,17:30,4573
2018/1/11,17:35,4588
2018/1/11,17:40,4591
2018/1/11,17:45,4581
2018/1/11,17:50,4601
2018/1/11,17:55,4609
2018/1/11,18:00,4615
2018/1/11,18:05,4600
2018/1/11,18:10,4597
2018/1/11,18:15,4595
2018/1/11,18:20,4587
2018/1/11,18:25,4610
2018/1/11,18:30,4597
2018/1/11,18:35,4596
2018/1/11,18:40,4598
2018/1/11,18:45,4584
2018/1/11,18:50,4586
2018/1/11,18:55,4598
2018/1/11,19:00,4566
2018/1/11,19:05,4569
2018/1/11,19:10,4533
2018/1/11,19:15,4525
2018/1/11,19:20,4515
2018/1/11,19:25,4510
2018/1/11,19:30,4504
2018/1/11,19:35,4483
2018/1/11,19:40,4467
2018/1/11,19:45,4476
2018/1/11,19:50,4469
2018/1/11,19:55,4476
2018/1/11,20:00,4438
2018/1/11,20:05,4433
2018/1/11,20:10,4414
2018/1/11,20:15,4419
2018/1/11,20:20,4399
2018/1/11,20:25,4403
2018/1/11,20:30,4388
2018/1/11,20:35,4380
2018/1/11,20:40,4377
2018/1/11,20:45,4370
2018/1/11,20:50,4349
2018/1/11,20:55,4352
2018/1/11,21:00,4323
2018/1/11,21:05,4309
2018/1/11,21:10,4295
2018/1/11,21:15,4285
2018/1/11,21:20,4266
2018/1/11,21:25,4264
2018/1/11,21:30,4233
2018/1/11,21:35,4209
2018/1/11,21:40,4196
2018/1/11,21:45,4166
2018/1/11,21:50,4154
2018/1/11,21:55,4130
2018/1/11,22:00,4115
2018/1/11,22:05,4136
2018/1/11,22:10,4126
2018/1/11,22:15,4095
2018/1/11,22:20,4074
2018/1/11,22:25,4043
2018/1/11,22:30,4018
2018/1/11,22:35,3979
2018/1/11,22:40,3965
2018/1/11,22:45,3938
2018/1/11,22:50,3937
2018/1/11,22:55,3883
2018/1/11,23:00,3834
2018/1/11,23:05,3842
2018/1/11,23:10,3859
2018/1/11,23:15,3841
2018/1/11,23:20,3815
2018/1/11,23:25,3800
2018/1/11,23:30,3775
2018/1/11,23:35,3747
2018/1/11,23:40,3708
2018/1/11,23:45,3696
2018/1/11,23:50,3653
2018/1/11,23:55,3633
