2017/5/1 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3515,19:00～20:00,5/1,8:30,9,92

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3237,19:00～20:00,5/1,8:30

DATE,TIME,当日実績(万kW),予測値（万kW),使用率(%)
2017/5/1,0:00,2205,2216,63
2017/5/1,1:00,2118,2129,60
2017/5/1,2:00,2114,2119,60
2017/5/1,3:00,2136,2138,61
2017/5/1,4:00,2156,2158,61
2017/5/1,5:00,2169,2187,62
2017/5/1,6:00,2285,2313,65
2017/5/1,7:00,2488,2469,71
2017/5/1,8:00,2799,2790,80
2017/5/1,9:00,3051,3003,87
2017/5/1,10:00,3136,3130,89
2017/5/1,11:00,3182,3159,91
2017/5/1,12:00,3136,3042,89
2017/5/1,13:00,3236,3081,92
2017/5/1,14:00,3126,3091,89
2017/5/1,15:00,3047,3052,87
2017/5/1,16:00,3007,3140,86
2017/5/1,17:00,3044,3130,87
2017/5/1,18:00,3137,3140,89
2017/5/1,19:00,3146,3237,90
2017/5/1,20:00,3009,3091,86
2017/5/1,21:00,2833,2916,81
2017/5/1,22:00,2658,2683,76
2017/5/1,23:00,2480,2459,71

最大使用率(%),時間帯
92,13:00～14:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3485,19:00～20:00,5/1,17:30,12,90

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3062,11:00～12:00,5/1,17:30

DATE,TIME,当日実績（５分間隔値）(万kW)
2017/5/1,0:00,2286
2017/5/1,0:05,2279
2017/5/1,0:10,2261
2017/5/1,0:15,2252
2017/5/1,0:20,2219
2017/5/1,0:25,2195
2017/5/1,0:30,2191
2017/5/1,0:35,2180
2017/5/1,0:40,2173
2017/5/1,0:45,2162
2017/5/1,0:50,2136
2017/5/1,0:55,2126
2017/5/1,1:00,2140
2017/5/1,1:05,2138
2017/5/1,1:10,2144
2017/5/1,1:15,2133
2017/5/1,1:20,2125
2017/5/1,1:25,2122
2017/5/1,1:30,2102
2017/5/1,1:35,2095
2017/5/1,1:40,2090
2017/5/1,1:45,2112
2017/5/1,1:50,2115
2017/5/1,1:55,2098
2017/5/1,2:00,2112
2017/5/1,2:05,2118
2017/5/1,2:10,2119
2017/5/1,2:15,2107
2017/5/1,2:20,2110
2017/5/1,2:25,2113
2017/5/1,2:30,2105
2017/5/1,2:35,2109
2017/5/1,2:40,2111
2017/5/1,2:45,2128
2017/5/1,2:50,2120
2017/5/1,2:55,2117
2017/5/1,3:00,2130
2017/5/1,3:05,2139
2017/5/1,3:10,2142
2017/5/1,3:15,2141
2017/5/1,3:20,2120
2017/5/1,3:25,2126
2017/5/1,3:30,2124
2017/5/1,3:35,2140
2017/5/1,3:40,2135
2017/5/1,3:45,2140
2017/5/1,3:50,2153
2017/5/1,3:55,2139
2017/5/1,4:00,2149
2017/5/1,4:05,2140
2017/5/1,4:10,2152
2017/5/1,4:15,2148
2017/5/1,4:20,2152
2017/5/1,4:25,2153
2017/5/1,4:30,2160
2017/5/1,4:35,2166
2017/5/1,4:40,2161
2017/5/1,4:45,2167
2017/5/1,4:50,2166
2017/5/1,4:55,2159
2017/5/1,5:00,2160
2017/5/1,5:05,2174
2017/5/1,5:10,2160
2017/5/1,5:15,2165
2017/5/1,5:20,2154
2017/5/1,5:25,2164
2017/5/1,5:30,2161
2017/5/1,5:35,2171
2017/5/1,5:40,2179
2017/5/1,5:45,2173
2017/5/1,5:50,2178
2017/5/1,5:55,2190
2017/5/1,6:00,2202
2017/5/1,6:05,2226
2017/5/1,6:10,2246
2017/5/1,6:15,2249
2017/5/1,6:20,2247
2017/5/1,6:25,2278
2017/5/1,6:30,2291
2017/5/1,6:35,2297
2017/5/1,6:40,2324
2017/5/1,6:45,2341
2017/5/1,6:50,2353
2017/5/1,6:55,2364
2017/5/1,7:00,2358
2017/5/1,7:05,2407
2017/5/1,7:10,2421
2017/5/1,7:15,2431
2017/5/1,7:20,2465
2017/5/1,7:25,2485
2017/5/1,7:30,2497
2017/5/1,7:35,2510
2017/5/1,7:40,2546
2017/5/1,7:45,2561
2017/5/1,7:50,2579
2017/5/1,7:55,2603
2017/5/1,8:00,2647
2017/5/1,8:05,2680
2017/5/1,8:10,2698
2017/5/1,8:15,2741
2017/5/1,8:20,2765
2017/5/1,8:25,2795
2017/5/1,8:30,2813
2017/5/1,8:35,2855
2017/5/1,8:40,2875
2017/5/1,8:45,2893
2017/5/1,8:50,2911
2017/5/1,8:55,2917
2017/5/1,9:00,2925
2017/5/1,9:05,2974
2017/5/1,9:10,2999
2017/5/1,9:15,3025
2017/5/1,9:20,3032
2017/5/1,9:25,3050
2017/5/1,9:30,3071
2017/5/1,9:35,3085
2017/5/1,9:40,3076
2017/5/1,9:45,3114
2017/5/1,9:50,3127
2017/5/1,9:55,3133
2017/5/1,10:00,3122
2017/5/1,10:05,3127
2017/5/1,10:10,3115
2017/5/1,10:15,3129
2017/5/1,10:20,3135
2017/5/1,10:25,3137
2017/5/1,10:30,3114
2017/5/1,10:35,3154
2017/5/1,10:40,3146
2017/5/1,10:45,3158
2017/5/1,10:50,3146
