2020/12/23 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1601,9:00～10:00,12月22日,7:17,24,81

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1290,9:00～10:00,12月22日,6:27

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1417,17:00～18:00,12月22日,1:12,12,90

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1270,17:00～18:00,12月22日,1:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/22,0:00,1039,1030,79,1318
2020/12/22,1:00,1062,1059,80,1322
2020/12/22,2:00,1094,1094,81,1353
2020/12/22,3:00,1118,1117,81,1388
2020/12/22,4:00,1136,1140,81,1408
2020/12/22,5:00,1174,1168,81,1456
2020/12/22,6:00,1217,1217,87,1406
2020/12/22,7:00,1210,1210,87,1384
2020/12/22,8:00,1273,1265,85,1499
2020/12/22,9:00,1267,1290,79,1601
2020/12/22,10:00,1245,1255,76,1632
2020/12/22,11:00,1230,1230,76,1623
2020/12/22,12:00,1152,1170,76,1514
2020/12/22,13:00,1183,1196,78,1523
2020/12/22,14:00,1178,1182,82,1429
2020/12/22,15:00,1172,1181,82,1421
2020/12/22,16:00,1236,1235,86,1437
2020/12/22,17:00,1255,1270,89,1417
2020/12/22,18:00,1236,1233,87,1414
2020/12/22,19:00,1196,1183,87,1379
2020/12/22,20:00,1152,1141,85,1356
2020/12/22,21:00,1106,1093,84,1318
2020/12/22,22:00,1066,1061,80,1339
2020/12/22,23:00,1051,1055,79,1336

最大使用率(%),時間帯
89,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1462,9:00～10:00,12月22日,18:02,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1250,9:00～10:00,12月22日,18:02

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1286,6:00～7:00,12月22日,18:02,9,92

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1183,6:00～7:00,12月22日,18:02

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/12/22,0:00,1063,0,100
2020/12/22,0:05,1059,0,100
2020/12/22,0:10,1054,0,101
2020/12/22,0:15,1052,0,103
2020/12/22,0:20,1043,0,102
2020/12/22,0:25,1030,0,100
2020/12/22,0:30,1031,0,99
2020/12/22,0:35,1027,0,99
2020/12/22,0:40,1032,0,101
2020/12/22,0:45,1034,0,101
2020/12/22,0:50,1026,0,99
2020/12/22,0:55,1031,0,99
2020/12/22,1:00,1035,0,99
2020/12/22,1:05,1053,0,98
2020/12/22,1:10,1053,0,95
2020/12/22,1:15,1052,0,95
2020/12/22,1:20,1057,0,94
2020/12/22,1:25,1060,0,94
2020/12/22,1:30,1068,0,93
2020/12/22,1:35,1067,0,92
2020/12/22,1:40,1070,0,92
2020/12/22,1:45,1066,0,92
2020/12/22,1:50,1069,0,92
2020/12/22,1:55,1072,0,92
2020/12/22,2:00,1075,0,95
2020/12/22,2:05,1079,0,95
2020/12/22,2:10,1078,0,96
2020/12/22,2:15,1081,0,95
2020/12/22,2:20,1085,0,94
2020/12/22,2:25,1098,0,95
2020/12/22,2:30,1099,0,94
2020/12/22,2:35,1112,0,93
2020/12/22,2:40,1104,0,90
2020/12/22,2:45,1107,0,86
2020/12/22,2:50,1104,0,85
2020/12/22,2:55,1098,0,83
2020/12/22,3:00,1095,0,82
2020/12/22,3:05,1122,0,81
2020/12/22,3:10,1118,0,83
2020/12/22,3:15,1121,0,83
2020/12/22,3:20,1113,0,80
2020/12/22,3:25,1120,0,79
2020/12/22,3:30,1122,0,79
2020/12/22,3:35,1128,0,78
2020/12/22,3:40,1115,0,77
2020/12/22,3:45,1120,0,75
2020/12/22,3:50,1119,0,74
2020/12/22,3:55,1110,0,74
2020/12/22,4:00,1125,0,73
2020/12/22,4:05,1133,0,70
2020/12/22,4:10,1130,0,69
2020/12/22,4:15,1136,0,71
2020/12/22,4:20,1140,0,70
2020/12/22,4:25,1138,0,71
2020/12/22,4:30,1131,0,71
2020/12/22,4:35,1141,0,70
2020/12/22,4:40,1139,0,68
2020/12/22,4:45,1138,0,66
2020/12/22,4:50,1138,0,68
2020/12/22,4:55,1138,0,67
2020/12/22,5:00,1142,0,69
2020/12/22,5:05,1155,0,68
2020/12/22,5:10,1162,0,65
2020/12/22,5:15,1162,0,62
2020/12/22,5:20,1165,0,60
2020/12/22,5:25,1172,0,62
2020/12/22,5:30,1175,0,63
2020/12/22,5:35,1183,0,62
2020/12/22,5:40,1182,0,60
2020/12/22,5:45,1184,0,60
2020/12/22,5:50,1189,0,60
2020/12/22,5:55,1195,0,60
