"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","20.02.2020 17:00 - 20.02.2020 17:15 (CET)","4822","7099","n/e","7200","2344","434","n/e","n/e","4","493","641","1688","127","n/e","7658","315","172","898","446","5742","28506"
"BZN|DE-LU","20.02.2020 17:15 - 20.02.2020 17:30 (CET)","4817","7232","n/e","7343","2297","434","n/e","n/e","4","571","401","1686","126","n/e","7752","329","179","413","446","5773","29099"
"BZN|DE-LU","20.02.2020 17:30 - 20.02.2020 17:45 (CET)","4850","7286","n/e","7332","2380","434","n/e","n/e","4","1110","140","1689","61","n/e","7788","333","180","115","447","5779","29692"
"BZN|DE-LU","20.02.2020 17:45 - 20.02.2020 18:00 (CET)","4860","7493","n/e","7333","2416","434","n/e","n/e","4","1881","19","1691","33","n/e","7788","339","180","20","433","5772","30066"
"BZN|DE-LU","20.02.2020 18:00 - 20.02.2020 18:15 (CET)","4864","7842","n/e","7501","2465","434","n/e","n/e","4","3475","15","1691","73","n/e","7773","354","187","0","438","5749","30603"
"BZN|DE-LU","20.02.2020 18:15 - 20.02.2020 18:30 (CET)","4834","7940","n/e","7569","2528","434","n/e","n/e","4","3436","14","1683","111","n/e","7782","359","189","0","447","5740","31007"
"BZN|DE-LU","20.02.2020 18:30 - 20.02.2020 18:45 (CET)","4825","7958","n/e","7577","2588","434","n/e","n/e","4","3037","10","1684","157","n/e","7781","358","189","0","448","5752","31799"
"BZN|DE-LU","20.02.2020 18:45 - 20.02.2020 19:00 (CET)","4846","7957","n/e","7549","2669","434","n/e","n/e","4","2394","10","1685","91","n/e","7764","358","189","0","450","5716","32629"
"BZN|DE-LU","20.02.2020 19:00 - 20.02.2020 19:15 (CET)","4866","7822","n/e","7250","2746","434","n/e","n/e","4","4122","9","1684","172","n/e","7765","361","189","0","449","5717","33107"
"BZN|DE-LU","20.02.2020 19:15 - 20.02.2020 19:30 (CET)","4876","7804","n/e","7198","2722","434","n/e","n/e","4","3353","9","1680","154","n/e","7773","361","189","0","442","5718","33560"
"BZN|DE-LU","20.02.2020 19:30 - 20.02.2020 19:45 (CET)","4883","7703","n/e","7188","2691","434","n/e","n/e","4","2408","11","1678","106","n/e","7775","361","189","0","449","5663","33957"
"BZN|DE-LU","20.02.2020 19:45 - 20.02.2020 20:00 (CET)","4888","7358","n/e","7154","2617","434","n/e","n/e","4","1789","92","1675","73","n/e","7862","361","189","0","450","5747","34555"
"BZN|DE-LU","20.02.2020 20:00 - 20.02.2020 20:15 (CET)","4893","6822","n/e","6864","2539","434","n/e","n/e","4","2740","120","1676","134","n/e","7901","360","189","0","428","5710","35129"
"BZN|DE-LU","20.02.2020 20:15 - 20.02.2020 20:30 (CET)","4884","6287","n/e","6732","2499","434","n/e","n/e","4","2297","79","1673","80","n/e","7972","350","184","0","424","5763","35731"
"BZN|DE-LU","20.02.2020 20:30 - 20.02.2020 20:45 (CET)","4899","5918","n/e","6229","2409","434","n/e","n/e","4","2089","232","1670","94","n/e","8010","341","180","0","425","5764","35711"
"BZN|DE-LU","20.02.2020 20:45 - 20.02.2020 21:00 (CET)","4895","5352","n/e","5701","2300","434","n/e","n/e","4","1498","256","1667","50","n/e","8009","341","180","0","433","5779","35475"
"BZN|DE-LU","20.02.2020 21:00 - 20.02.2020 21:15 (CET)","4900","4811","n/e","5389","2266","434","n/e","n/e","4","1567","62","1672","109","n/e","8011","342","180","0","431","5783","35758"
"BZN|DE-LU","20.02.2020 21:15 - 20.02.2020 21:30 (CET)","4903","4540","n/e","5208","2217","434","n/e","n/e","4","1127","63","1672","81","n/e","8008","342","180","0","438","5774","35742"
"BZN|DE-LU","20.02.2020 21:30 - 20.02.2020 21:45 (CET)","4896","4497","n/e","5105","2178","434","n/e","n/e","4","560","463","1674","69","n/e","8010","342","180","0","442","5766","35508"
"BZN|DE-LU","20.02.2020 21:45 - 20.02.2020 22:00 (CET)","4908","4406","n/e","4932","2148","434","n/e","n/e","4","468","1077","1676","63","n/e","8007","342","180","0","433","5769","35598"
"BZN|DE-LU","20.02.2020 22:00 - 20.02.2020 22:15 (CET)","4910","4482","n/e","4629","2008","434","n/e","n/e","4","1980","605","1677","213","n/e","8015","325","174","0","419","5766","34531"
"BZN|DE-LU","20.02.2020 22:15 - 20.02.2020 22:30 (CET)","4885","4461","n/e","4585","2009","434","n/e","n/e","4","1660","364","1675","176","n/e","7994","319","172","0","424","5770","34479"
"BZN|DE-LU","20.02.2020 22:30 - 20.02.2020 22:45 (CET)","4895","4340","n/e","4374","2005","434","n/e","n/e","4","1101","436","1681","128","n/e","7990","319","172","0","426","5771","34539"
"BZN|DE-LU","20.02.2020 22:45 - 20.02.2020 23:00 (CET)","4878","4192","n/e","4180","1991","434","n/e","n/e","4","704","625","1682","66","n/e","7978","319","172","0","428","5768","34751"
"BZN|DE-LU","20.02.2020 23:00 - 20.02.2020 23:15 (CET)","4905","4175","n/e","3905","1958","434","n/e","n/e","4","936","1470","1685","133","n/e","7983","320","172","0","419","5769","34816"
"BZN|DE-LU","20.02.2020 23:15 - 20.02.2020 23:30 (CET)","4910","4044","n/e","3876","1985","434","n/e","n/e","4","619","1881","1686","52","n/e","7938","320","172","0","423","5762","35335"
"BZN|DE-LU","20.02.2020 23:30 - 20.02.2020 23:45 (CET)","4898","3952","n/e","3862","2022","434","n/e","n/e","4","251","2355","1681","44","n/e","7871","320","171","0","423","5764","35498"
"BZN|DE-LU","20.02.2020 23:45 - 21.02.2020 00:00 (CET)","4913","3784","n/e","3821","2011","434","n/e","n/e","4","115","2833","1684","31","n/e","7807","315","169","0","427","5763","35583"
