年月日,時刻コード,始値（円/kWh）,高値（円/kWh）,安値（円/kWh）,終値（円/kWh）,平均（円/kWh）,約定量合計（MWh/h）,約定件数
2018/04/01,1,6.50,8.63,6.28,6.28,7.62,58.8,65
2018/04/01,2,6.82,11.24,5.14,8.63,7.52,54.0,64
2018/04/01,3,5.00,11.34,5.00,8.63,7.50,57.3,68
2018/04/01,4,5.50,8.63,5.50,8.63,7.56,63.0,68
2018/04/01,5,6.40,9.84,6.09,7.08,6.89,61.6,70
2018/04/01,6,5.50,9.98,5.43,8.63,7.83,59.7,64
2018/04/01,7,5.50,10.24,5.50,8.63,7.77,60.7,72
2018/04/01,8,5.50,10.50,5.50,8.63,7.63,66.0,75
2018/04/01,9,5.50,10.57,5.50,7.08,7.08,76.6,68
2018/04/01,10,5.00,10.31,5.00,7.08,7.05,66.0,66
2018/04/01,11,4.20,10.16,4.20,7.08,7.00,61.4,66
2018/04/01,12,7.08,9.88,6.13,7.08,7.01,60.9,71
2018/04/01,13,6.29,11.11,4.93,7.89,7.21,61.0,65
2018/04/01,14,8.94,10.95,4.39,5.75,6.80,51.8,66
2018/04/01,15,5.55,10.95,5.25,5.62,6.43,86.0,72
2018/04/01,16,5.07,10.95,3.82,7.98,6.20,35.6,64
2018/04/01,17,5.05,9.22,3.37,8.32,5.40,34.6,67
2018/04/01,18,5.55,9.88,3.59,6.00,5.65,49.3,66
2018/04/01,19,5.07,10.00,3.18,5.57,5.41,53.0,69
2018/04/01,20,5.67,10.10,3.19,7.95,5.58,42.9,68
2018/04/01,21,4.30,9.20,3.20,5.00,4.78,77.5,71
2018/04/01,22,3.79,8.70,3.50,4.66,4.36,97.0,73
2018/04/01,23,3.79,8.60,3.73,5.24,4.36,93.8,67
2018/04/01,24,3.79,9.80,3.73,4.66,4.35,93.8,71
2018/04/01,25,3.72,8.07,2.40,4.30,4.41,125.3,80
2018/04/01,26,3.72,8.02,2.30,3.70,4.39,123.4,80
2018/04/01,27,3.72,8.06,2.90,3.52,4.38,120.9,87
2018/04/01,28,3.72,8.79,2.90,8.79,4.57,114.0,85
2018/04/01,29,7.93,7.93,2.90,5.59,4.63,50.6,73
2018/04/01,30,7.64,9.39,2.90,6.90,4.83,47.0,85
2018/04/01,31,5.00,8.26,3.10,8.26,5.48,72.5,84
2018/04/01,32,9.46,9.91,3.00,8.68,5.73,97.3,80
2018/04/01,33,9.72,10.60,3.72,5.62,5.86,84.0,83
2018/04/01,34,5.68,13.00,4.15,6.45,6.54,84.8,82
2018/04/01,35,5.98,13.00,4.69,6.68,7.64,60.7,77
2018/04/01,36,12.24,13.97,5.91,7.88,8.13,95.3,77
2018/04/01,37,12.75,14.58,5.97,8.98,8.50,113.6,91
2018/04/01,38,11.06,15.00,6.52,9.35,9.17,106.9,88
2018/04/01,39,11.10,14.76,8.05,9.12,9.15,85.2,81
2018/04/01,40,11.22,14.48,7.21,8.88,8.87,83.3,84
2018/04/01,41,11.10,13.20,6.86,8.86,8.69,79.0,84
2018/04/01,42,8.49,12.80,6.20,8.79,8.84,93.9,89
2018/04/01,43,7.68,12.48,4.90,8.70,8.66,99.5,95
2018/04/01,44,10.49,10.49,4.40,7.77,7.74,97.0,84
2018/04/01,45,8.46,9.44,5.71,7.71,7.90,52.1,81
2018/04/01,46,7.58,9.36,3.30,7.21,7.28,62.4,81
2018/04/01,47,9.92,9.92,5.75,5.75,6.65,100.2,91
2018/04/01,48,6.76,11.00,5.18,5.93,6.37,102.6,78
2018/04/02,1,6.57,9.83,3.90,8.76,7.73,58.0,55
2018/04/02,2,9.43,9.50,3.60,6.44,7.00,81.9,68
2018/04/02,3,9.44,9.44,3.60,6.43,6.53,88.0,68
2018/04/02,4,9.64,9.64,3.40,6.42,6.43,87.9,64
2018/04/02,5,9.55,9.94,3.80,6.43,6.46,74.8,56
2018/04/02,6,9.56,9.94,3.80,9.94,6.59,73.2,60
2018/04/02,7,9.86,9.94,4.40,9.94,6.53,75.8,64
2018/04/02,8,10.13,10.13,4.40,7.08,6.84,161.4,70
2018/04/02,9,10.35,10.35,4.40,5.39,6.60,77.5,67
2018/04/02,10,10.03,10.03,4.40,7.68,6.59,74.0,67
2018/04/02,11,10.01,10.01,4.70,7.12,6.88,87.1,70
2018/04/02,12,7.76,7.89,4.60,7.89,6.80,70.2,73
2018/04/02,13,9.82,9.82,4.80,7.22,7.01,66.8,65
2018/04/02,14,9.16,9.92,4.90,6.17,8.18,75.8,73
2018/04/02,15,9.40,10.09,5.44,10.09,7.32,65.8,71
2018/04/02,16,9.89,14.00,6.72,7.95,7.87,70.3,74
2018/04/02,17,9.03,15.00,3.83,15.00,7.09,73.9,74
2018/04/02,18,5.30,17.86,5.30,15.00,8.64,88.9,66
