2016/4/22 0:08 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1149,19:00～20:00,4/21,8:55,22,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
941,19:00～20:00,4/21,8:55

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/21,0:00,689,725,60
2016/4/21,1:00,705,725,61
2016/4/21,2:00,745,771,65
2016/4/21,3:00,797,825,69
2016/4/21,4:00,826,842,72
2016/4/21,5:00,815,824,71
2016/4/21,6:00,823,820,72
2016/4/21,7:00,840,841,73
2016/4/21,8:00,875,870,76
2016/4/21,9:00,932,906,81
2016/4/21,10:00,945,922,82
2016/4/21,11:00,951,927,83
2016/4/21,12:00,893,889,78
2016/4/21,13:00,915,918,80
2016/4/21,14:00,927,925,81
2016/4/21,15:00,925,920,80
2016/4/21,16:00,929,924,81
2016/4/21,17:00,934,927,81
2016/4/21,18:00,937,940,82
2016/4/21,19:00,922,929,80
2016/4/21,20:00,881,901,77
2016/4/21,21:00,838,867,73
2016/4/21,22:00,795,828,69
2016/4/21,23:00,743,787,65

最大使用率(%),時間帯
83,11:00～12:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1122,19:00～20:00,4/21,17:55,20,83

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
934,19:00～20:00,4/21,17:55

DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/21,0:00,716
2016/4/21,0:05,694
2016/4/21,0:10,698
2016/4/21,0:15,698
2016/4/21,0:20,682
2016/4/21,0:25,687
2016/4/21,0:30,689
2016/4/21,0:35,679
2016/4/21,0:40,681
2016/4/21,0:45,684
2016/4/21,0:50,683
2016/4/21,0:55,676
2016/4/21,1:00,684
2016/4/21,1:05,693
2016/4/21,1:10,697
2016/4/21,1:15,695
2016/4/21,1:20,708
2016/4/21,1:25,700
2016/4/21,1:30,706
2016/4/21,1:35,713
2016/4/21,1:40,716
2016/4/21,1:45,721
2016/4/21,1:50,711
2016/4/21,1:55,720
2016/4/21,2:00,728
2016/4/21,2:05,737
2016/4/21,2:10,742
2016/4/21,2:15,742
2016/4/21,2:20,737
2016/4/21,2:25,736
2016/4/21,2:30,740
2016/4/21,2:35,750
2016/4/21,2:40,748
2016/4/21,2:45,749
2016/4/21,2:50,762
2016/4/21,2:55,770
2016/4/21,3:00,768
2016/4/21,3:05,779
2016/4/21,3:10,776
2016/4/21,3:15,782
2016/4/21,3:20,793
2016/4/21,3:25,801
2016/4/21,3:30,800
2016/4/21,3:35,806
2016/4/21,3:40,810
2016/4/21,3:45,817
2016/4/21,3:50,815
2016/4/21,3:55,817
2016/4/21,4:00,816
2016/4/21,4:05,818
2016/4/21,4:10,824
2016/4/21,4:15,831
2016/4/21,4:20,837
2016/4/21,4:25,824
2016/4/21,4:30,814
2016/4/21,4:35,830
2016/4/21,4:40,841
2016/4/21,4:45,832
2016/4/21,4:50,825
2016/4/21,4:55,825
2016/4/21,5:00,827
2016/4/21,5:05,825
2016/4/21,5:10,830
2016/4/21,5:15,819
2016/4/21,5:20,811
2016/4/21,5:25,812
2016/4/21,5:30,811
2016/4/21,5:35,811
2016/4/21,5:40,807
2016/4/21,5:45,806
2016/4/21,5:50,813
2016/4/21,5:55,810
2016/4/21,6:00,811
2016/4/21,6:05,808
2016/4/21,6:10,820
2016/4/21,6:15,815
2016/4/21,6:20,822
2016/4/21,6:25,825
2016/4/21,6:30,829
2016/4/21,6:35,824
2016/4/21,6:40,826
2016/4/21,6:45,829
2016/4/21,6:50,839
2016/4/21,6:55,827
2016/4/21,7:00,842
2016/4/21,7:05,837
2016/4/21,7:10,839
2016/4/21,7:15,841
2016/4/21,7:20,842
2016/4/21,7:25,840
2016/4/21,7:30,839
2016/4/21,7:35,834
2016/4/21,7:40,834
2016/4/21,7:45,837
2016/4/21,7:50,841
2016/4/21,7:55,847
2016/4/21,8:00,835
2016/4/21,8:05,842
2016/4/21,8:10,858
2016/4/21,8:15,852
2016/4/21,8:20,870
2016/4/21,8:25,871
2016/4/21,8:30,879
2016/4/21,8:35,886
2016/4/21,8:40,891
2016/4/21,8:45,900
2016/4/21,8:50,901
2016/4/21,8:55,917
2016/4/21,9:00,926
2016/4/21,9:05,925
2016/4/21,9:10,926
2016/4/21,9:15,929
2016/4/21,9:20,926
2016/4/21,9:25,933
2016/4/21,9:30,934
2016/4/21,9:35,931
2016/4/21,9:40,942
2016/4/21,9:45,929
2016/4/21,9:50,947
2016/4/21,9:55,942
2016/4/21,10:00,945
2016/4/21,10:05,925
2016/4/21,10:10,940
2016/4/21,10:15,934
2016/4/21,10:20,934
2016/4/21,10:25,948
