2016/7/21 0:08 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1580,16:00～17:00,7/20,16:00,13,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1400,16:00～17:00,7/20,16:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/7/20,0:00,919,929,58
2016/7/20,1:00,879,887,56
2016/7/20,2:00,869,887,55
2016/7/20,3:00,893,906,57
2016/7/20,4:00,924,939,58
2016/7/20,5:00,932,946,59
2016/7/20,6:00,946,966,60
2016/7/20,7:00,1006,1022,64
2016/7/20,8:00,1133,1133,72
2016/7/20,9:00,1248,1253,79
2016/7/20,10:00,1312,1310,83
2016/7/20,11:00,1324,1365,84
2016/7/20,12:00,1328,1219,84
2016/7/20,13:00,1381,1214,87
2016/7/20,14:00,1400,1213,89
2016/7/20,15:00,1367,1226,87
2016/7/20,16:00,1360,1234,86
2016/7/20,17:00,1310,1237,83
2016/7/20,18:00,1287,1240,90
2016/7/20,19:00,1269,1232,89
2016/7/20,20:00,1217,1183,85
2016/7/20,21:00,1141,1126,80
2016/7/20,22:00,1074,1071,75
2016/7/20,23:00,988,994,69

最大使用率(%),時間帯
90,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1656,16:00～17:00,7/20,17:55,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1422,16:00～17:00,7/20,17:55

DATE,TIME,当日実績(５分間隔値）(万kW)
2016/7/20,0:00,949
2016/7/20,0:05,955
2016/7/20,0:10,937
2016/7/20,0:15,937
2016/7/20,0:20,937
2016/7/20,0:25,931
2016/7/20,0:30,901
2016/7/20,0:35,921
2016/7/20,0:40,904
2016/7/20,0:45,892
2016/7/20,0:50,886
2016/7/20,0:55,878
2016/7/20,1:00,883
2016/7/20,1:05,892
2016/7/20,1:10,894
2016/7/20,1:15,901
2016/7/20,1:20,881
2016/7/20,1:25,887
2016/7/20,1:30,882
2016/7/20,1:35,874
2016/7/20,1:40,868
2016/7/20,1:45,864
2016/7/20,1:50,860
2016/7/20,1:55,864
2016/7/20,2:00,859
2016/7/20,2:05,866
2016/7/20,2:10,866
2016/7/20,2:15,861
2016/7/20,2:20,864
2016/7/20,2:25,867
2016/7/20,2:30,867
2016/7/20,2:35,876
2016/7/20,2:40,871
2016/7/20,2:45,875
2016/7/20,2:50,877
2016/7/20,2:55,879
2016/7/20,3:00,888
2016/7/20,3:05,886
2016/7/20,3:10,890
2016/7/20,3:15,885
2016/7/20,3:20,893
2016/7/20,3:25,886
2016/7/20,3:30,888
2016/7/20,3:35,895
2016/7/20,3:40,895
2016/7/20,3:45,908
2016/7/20,3:50,902
2016/7/20,3:55,908
2016/7/20,4:00,914
2016/7/20,4:05,912
2016/7/20,4:10,920
2016/7/20,4:15,922
2016/7/20,4:20,924
2016/7/20,4:25,923
2016/7/20,4:30,927
2016/7/20,4:35,929
2016/7/20,4:40,936
2016/7/20,4:45,920
2016/7/20,4:50,931
2016/7/20,4:55,927
2016/7/20,5:00,934
2016/7/20,5:05,924
2016/7/20,5:10,932
2016/7/20,5:15,934
