2020/10/25 0:02 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1069,17:00～18:00,10月23日,18:02,18,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
907,17:00～18:00,10月23日,18:02

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1069,17:00～18:00,10月23日,18:02,18,85

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
910,17:00～18:00,10月23日,18:02

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/10/24,0:00,709,730,74,952
2020/10/24,1:00,703,721,71,993
2020/10/24,2:00,727,746,74,987
2020/10/24,3:00,753,769,77,983
2020/10/24,4:00,766,776,79,966
2020/10/24,5:00,765,766,79,972
2020/10/24,6:00,761,776,75,1021
2020/10/24,7:00,762,809,71,1079
2020/10/24,8:00,794,833,69,1156
2020/10/24,9:00,798,847,70,1140
2020/10/24,10:00,794,848,69,1152
2020/10/24,11:00,833,839,73,1142
2020/10/24,12:00,798,819,72,1115
2020/10/24,13:00,783,833,73,1068
2020/10/24,14:00,794,829,76,1047
2020/10/24,15:00,804,832,79,1016
2020/10/24,16:00,842,864,79,1068
2020/10/24,17:00,879,907,82,1069
2020/10/24,18:00,874,891,82,1062
2020/10/24,19:00,850,869,82,1035
2020/10/24,20:00,815,839,80,1024
2020/10/24,21:00,776,800,76,1015
2020/10/24,22:00,739,756,73,1012
2020/10/24,23:00,706,726,68,1035

最大使用率(%),時間帯
82,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1008,18:00～19:00,10月24日,18:12,17,85

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
860,18:00～19:00,10月24日,23:42

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1008,18:00～19:00,10月24日,18:12,17,85

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
860,18:00～19:00,10月24日,23:42

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2020/10/24,0:00,742,0,125
2020/10/24,0:05,734,0,125
2020/10/24,0:10,727,0,124
2020/10/24,0:15,717,0,123
2020/10/24,0:20,720,0,123
2020/10/24,0:25,714,0,126
2020/10/24,0:30,704,0,130
2020/10/24,0:35,699,0,132
2020/10/24,0:40,700,0,132
2020/10/24,0:45,702,0,133
2020/10/24,0:50,691,0,132
2020/10/24,0:55,691,0,131
2020/10/24,1:00,682,0,130
2020/10/24,1:05,703,0,130
2020/10/24,1:10,704,0,129
2020/10/24,1:15,709,0,129
2020/10/24,1:20,706,0,129
2020/10/24,1:25,699,0,129
2020/10/24,1:30,697,0,131
2020/10/24,1:35,704,0,131
2020/10/24,1:40,706,0,130
2020/10/24,1:45,699,0,130
2020/10/24,1:50,704,0,130
2020/10/24,1:55,707,0,131
2020/10/24,2:00,710,0,133
2020/10/24,2:05,715,0,134
2020/10/24,2:10,719,0,135
2020/10/24,2:15,723,0,134
2020/10/24,2:20,724,0,134
2020/10/24,2:25,723,0,135
2020/10/24,2:30,718,0,133
2020/10/24,2:35,721,0,133
2020/10/24,2:40,726,0,135
2020/10/24,2:45,736,0,134
2020/10/24,2:50,738,0,134
2020/10/24,2:55,746,0,130
2020/10/24,3:00,748,0,132
2020/10/24,3:05,744,0,131
2020/10/24,3:10,750,0,133
2020/10/24,3:15,750,0,133
2020/10/24,3:20,753,0,134
2020/10/24,3:25,754,0,133
2020/10/24,3:30,745,0,134
2020/10/24,3:35,754,0,131
2020/10/24,3:40,751,0,131
2020/10/24,3:45,754,0,131
2020/10/24,3:50,760,0,131
2020/10/24,3:55,763,0,133
2020/10/24,4:00,768,0,131
2020/10/24,4:05,765,0,131
2020/10/24,4:10,761,0,131
2020/10/24,4:15,765,0,131
2020/10/24,4:20,771,0,132
2020/10/24,4:25,765,0,133
2020/10/24,4:30,760,0,132
2020/10/24,4:35,764,0,130
2020/10/24,4:40,762,0,129
2020/10/24,4:45,769,0,129
2020/10/24,4:50,775,0,128
2020/10/24,4:55,771,0,128
2020/10/24,5:00,768,0,128
2020/10/24,5:05,769,0,130
2020/10/24,5:10,768,0,131
2020/10/24,5:15,771,0,127
2020/10/24,5:20,770,0,125
2020/10/24,5:25,770,0,126
2020/10/24,5:30,760,0,127
2020/10/24,5:35,757,0,127
2020/10/24,5:40,758,0,125
2020/10/24,5:45,764,0,130
2020/10/24,5:50,765,1,128
2020/10/24,5:55,762,2,127
2020/10/24,6:00,763,3,125
2020/10/24,6:05,770,4,123
2020/10/24,6:10,774,6,127
2020/10/24,6:15,774,8,131
2020/10/24,6:20,762,12,132
2020/10/24,6:25,763,16,133
2020/10/24,6:30,755,20,133
2020/10/24,6:35,767,23,134
2020/10/24,6:40,764,27,132
2020/10/24,6:45,753,31,132
2020/10/24,6:50,745,37,133
2020/10/24,6:55,751,44,134
2020/10/24,7:00,752,53,133
2020/10/24,7:05,754,62,130
2020/10/24,7:10,759,73,128
2020/10/24,7:15,756,81,129
2020/10/24,7:20,752,88,134
2020/10/24,7:25,758,97,134
2020/10/24,7:30,752,104,133
2020/10/24,7:35,760,112,133
2020/10/24,7:40,762,118,132
2020/10/24,7:45,776,125,131
2020/10/24,7:50,779,128,132
2020/10/24,7:55,777,133,134
2020/10/24,8:00,775,138,134
2020/10/24,8:05,788,148,133
