2017/8/4 0:07 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1773,16:00～17:00,8/3,9:00,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1550,16:00～17:00,8/3,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2017/8/3,0:00,967,965,65
2017/8/3,1:00,914,920,62
2017/8/3,2:00,902,900,61
2017/8/3,3:00,910,915,61
2017/8/3,4:00,934,940,63
2017/8/3,5:00,955,960,64
2017/8/3,6:00,988,985,64
2017/8/3,7:00,1074,1060,65
2017/8/3,8:00,1233,1220,71
2017/8/3,9:00,1382,1360,81
2017/8/3,10:00,1448,1445,80
2017/8/3,11:00,1491,1510,83
2017/8/3,12:00,1478,1505,80
2017/8/3,13:00,1498,1525,83
2017/8/3,14:00,1487,1545,81
2017/8/3,15:00,1510,1525,81
2017/8/3,16:00,1510,1550,85
2017/8/3,17:00,1489,1515,88
2017/8/3,18:00,1462,1480,88
2017/8/3,19:00,1427,1480,88
2017/8/3,20:00,1359,1400,86
2017/8/3,21:00,1276,1310,81
2017/8/3,22:00,1200,1210,77
2017/8/3,23:00,1100,1095,73

最大使用率(%),時間帯
88,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1530,16:00～17:00,,

DATE,TIME,当日実績(５分間隔値）(万kW)
2017/8/3,0:00,1013
2017/8/3,0:05,1002
2017/8/3,0:10,998
2017/8/3,0:15,986
2017/8/3,0:20,980
2017/8/3,0:25,964
2017/8/3,0:30,967
2017/8/3,0:35,954
2017/8/3,0:40,946
2017/8/3,0:45,943
2017/8/3,0:50,926
2017/8/3,0:55,923
2017/8/3,1:00,931
2017/8/3,1:05,929
2017/8/3,1:10,928
2017/8/3,1:15,922
2017/8/3,1:20,911
2017/8/3,1:25,908
2017/8/3,1:30,902
2017/8/3,1:35,909
2017/8/3,1:40,913
2017/8/3,1:45,907
2017/8/3,1:50,910
2017/8/3,1:55,898
2017/8/3,2:00,900
2017/8/3,2:05,907
2017/8/3,2:10,902
2017/8/3,2:15,906
2017/8/3,2:20,905
2017/8/3,2:25,890
2017/8/3,2:30,898
2017/8/3,2:35,903
2017/8/3,2:40,911
2017/8/3,2:45,896
2017/8/3,2:50,906
2017/8/3,2:55,900
2017/8/3,3:00,910
2017/8/3,3:05,901
2017/8/3,3:10,904
2017/8/3,3:15,901
2017/8/3,3:20,901
2017/8/3,3:25,909
2017/8/3,3:30,913
2017/8/3,3:35,915
2017/8/3,3:40,919
2017/8/3,3:45,912
2017/8/3,3:50,913
2017/8/3,3:55,916
2017/8/3,4:00,912
2017/8/3,4:05,925
2017/8/3,4:10,926
2017/8/3,4:15,924
2017/8/3,4:20,938
2017/8/3,4:25,936
2017/8/3,4:30,931
2017/8/3,4:35,943
2017/8/3,4:40,945
2017/8/3,4:45,942
2017/8/3,4:50,942
2017/8/3,4:55,946
2017/8/3,5:00,944
2017/8/3,5:05,954
