2020/10/08 23:49 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1994,11:00～12:00,10月07日,07:20,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1743,11:00～12:00,10月07日,07:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1969,14:00～15:00,10月07日,07:20,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1722,14:00～15:00,10月07日,07:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/10/07,00:00,1225,1222,80,1533
2020/10/07,01:00,1179,1175,76,1559
2020/10/07,02:00,1181,1178,76,1561
2020/10/07,03:00,1210,1211,80,1518
2020/10/07,04:00,1232,1232,80,1539
2020/10/07,05:00,1243,1249,80,1555
2020/10/07,06:00,1267,1283,80,1591
2020/10/07,07:00,1371,1373,82,1680
2020/10/07,08:00,1581,1553,88,1800
2020/10/07,09:00,1706,1686,88,1930
2020/10/07,10:00,1715,1726,86,1988
2020/10/07,11:00,1722,1743,86,1994
2020/10/07,12:00,1604,1632,85,1889
2020/10/07,13:00,1695,1724,86,1973
2020/10/07,14:00,1708,1722,87,1969
2020/10/07,15:00,1684,1688,87,1930
2020/10/07,16:00,1691,1688,88,1930
2020/10/07,17:00,1657,1647,88,1884
2020/10/07,18:00,1609,1608,87,1854
2020/10/07,19:00,1525,1526,86,1772
2020/10/07,20:00,1463,1458,86,1705
2020/10/07,21:00,1394,1398,85,1644
2020/10/07,22:00,1350,1343,85,1589
2020/10/07,23:00,1303,1299,84,1546

最大使用率(%),時間帯
88,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2037,10:00～11:00,10月07日,16:58,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1720,10:00～11:00,10月07日,16:58

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2028,09:00～10:00,10月07日,16:58,16,86

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1741,09:00～10:00,10月07日,16:58

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/10/07,00:00,1276,0
2020/10/07,00:05,1259,0
2020/10/07,00:10,1256,0
2020/10/07,00:15,1245,0
2020/10/07,00:20,1219,0
2020/10/07,00:25,1213,0
2020/10/07,00:30,1221,0
2020/10/07,00:35,1210,0
2020/10/07,00:40,1195,0
2020/10/07,00:45,1209,0
2020/10/07,00:50,1205,0
2020/10/07,00:55,1207,0
2020/10/07,01:00,1200,0
2020/10/07,01:05,1190,0
2020/10/07,01:10,1182,0
2020/10/07,01:15,1182,0
2020/10/07,01:20,1175,0
2020/10/07,01:25,1183,0
2020/10/07,01:30,1188,0
2020/10/07,01:35,1190,0
2020/10/07,01:40,1174,0
2020/10/07,01:45,1164,0
2020/10/07,01:50,1166,0
2020/10/07,01:55,1177,0
2020/10/07,02:00,1179,0
2020/10/07,02:05,1159,0
2020/10/07,02:10,1162,0
2020/10/07,02:15,1170,0
2020/10/07,02:20,1190,0
2020/10/07,02:25,1195,0
2020/10/07,02:30,1185,0
2020/10/07,02:35,1183,0
2020/10/07,02:40,1192,0
2020/10/07,02:45,1191,0
2020/10/07,02:50,1180,0
2020/10/07,02:55,1176,0
2020/10/07,03:00,1184,0
2020/10/07,03:05,1178,0
2020/10/07,03:10,1196,0
2020/10/07,03:15,1209,0
2020/10/07,03:20,1210,0
2020/10/07,03:25,1226,0
2020/10/07,03:30,1220,0
2020/10/07,03:35,1220,0
2020/10/07,03:40,1227,0
2020/10/07,03:45,1230,0
2020/10/07,03:50,1215,0
2020/10/07,03:55,1205,0
2020/10/07,04:00,1195,0
2020/10/07,04:05,1226,0
2020/10/07,04:10,1239,0
2020/10/07,04:15,1234,0
2020/10/07,04:20,1240,0
2020/10/07,04:25,1238,0
2020/10/07,04:30,1249,0
2020/10/07,04:35,1247,0
2020/10/07,04:40,1248,0
2020/10/07,04:45,1236,0
2020/10/07,04:50,1220,0
2020/10/07,04:55,1221,0
2020/10/07,05:00,1229,0
2020/10/07,05:05,1241,0
2020/10/07,05:10,1249,0
2020/10/07,05:15,1255,0
2020/10/07,05:20,1248,0
2020/10/07,05:25,1235,0
2020/10/07,05:30,1245,0
2020/10/07,05:35,1240,0
2020/10/07,05:40,1230,0
2020/10/07,05:45,1230,0
2020/10/07,05:50,1241,0
2020/10/07,05:55,1262,0
