2019/6/8 3:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
412,11:00～12:00,6月6日,20:45,10,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
376,11:00～12:00,6月6日,20:37

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2019/6/7,0:00,269,269,65
2019/6/7,1:00,266,271,65
2019/6/7,2:00,285,283,69
2019/6/7,3:00,298,301,72
2019/6/7,4:00,297,300,72
2019/6/7,5:00,287,291,70
2019/6/7,6:00,285,282,69
2019/6/7,7:00,300,293,73
2019/6/7,8:00,328,336,80
2019/6/7,9:00,353,365,86
2019/6/7,10:00,359,373,87
2019/6/7,11:00,358,376,87
2019/6/7,12:00,332,357,80
2019/6/7,13:00,349,370,85
2019/6/7,14:00,351,373,85
2019/6/7,15:00,346,367,84
2019/6/7,16:00,345,361,84
2019/6/7,17:00,331,346,80
2019/6/7,18:00,326,338,79
2019/6/7,19:00,316,331,77
2019/6/7,20:00,306,319,74
2019/6/7,21:00,294,307,71
2019/6/7,22:00,284,295,69
2019/6/7,23:00,276,287,67

最大使用率(%),時間帯
87,11:00～12:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
349,3:00～4:00,6月7日,20:46,21,83

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
289,3:00～4:00,6月7日,20:46

DATE,TIME,当日実績（５分間隔値）(万kW)
2019/6/7,0:00,279
2019/6/7,0:05,277
2019/6/7,0:10,274
2019/6/7,0:15,272
2019/6/7,0:20,271
2019/6/7,0:25,271
2019/6/7,0:30,270
2019/6/7,0:35,267
2019/6/7,0:40,267
2019/6/7,0:45,266
2019/6/7,0:50,263
2019/6/7,0:55,264
2019/6/7,1:00,265
2019/6/7,1:05,266
2019/6/7,1:10,264
2019/6/7,1:15,265
2019/6/7,1:20,265
2019/6/7,1:25,261
2019/6/7,1:30,263
2019/6/7,1:35,265
2019/6/7,1:40,266
2019/6/7,1:45,267
2019/6/7,1:50,266
2019/6/7,1:55,268
2019/6/7,2:00,270
2019/6/7,2:05,273
2019/6/7,2:10,278
2019/6/7,2:15,279
2019/6/7,2:20,280
2019/6/7,2:25,284
2019/6/7,2:30,285
2019/6/7,2:35,288
2019/6/7,2:40,289
2019/6/7,2:45,292
2019/6/7,2:50,291
2019/6/7,2:55,290
2019/6/7,3:00,288
2019/6/7,3:05,290
2019/6/7,3:10,294
2019/6/7,3:15,297
2019/6/7,3:20,300
2019/6/7,3:25,297
2019/6/7,3:30,300
2019/6/7,3:35,301
2019/6/7,3:40,298
2019/6/7,3:45,300
2019/6/7,3:50,299
2019/6/7,3:55,299
2019/6/7,4:00,295
2019/6/7,4:05,294
2019/6/7,4:10,296
2019/6/7,4:15,297
2019/6/7,4:20,297
2019/6/7,4:25,296
2019/6/7,4:30,298
2019/6/7,4:35,299
2019/6/7,4:40,298
2019/6/7,4:45,299
2019/6/7,4:50,295
2019/6/7,4:55,295
2019/6/7,5:00,294
2019/6/7,5:05,294
2019/6/7,5:10,288
2019/6/7,5:15,290
2019/6/7,5:20,290
2019/6/7,5:25,290
2019/6/7,5:30,287
2019/6/7,5:35,288
2019/6/7,5:40,285
2019/6/7,5:45,284
2019/6/7,5:50,283
2019/6/7,5:55,281
2019/6/7,6:00,280
2019/6/7,6:05,280
2019/6/7,6:10,279
2019/6/7,6:15,281
2019/6/7,6:20,281
2019/6/7,6:25,280
2019/6/7,6:30,282
2019/6/7,6:35,285
2019/6/7,6:40,285
2019/6/7,6:45,286
2019/6/7,6:50,287
2019/6/7,6:55,292
2019/6/7,7:00,290
2019/6/7,7:05,290
2019/6/7,7:10,295
2019/6/7,7:15,294
2019/6/7,7:20,296
2019/6/7,7:25,295
2019/6/7,7:30,296
2019/6/7,7:35,299
2019/6/7,7:40,303
2019/6/7,7:45,304
2019/6/7,7:50,304
2019/6/7,7:55,306
2019/6/7,8:00,305
2019/6/7,8:05,310
2019/6/7,8:10,314
2019/6/7,8:15,316
2019/6/7,8:20,318
2019/6/7,8:25,320
2019/6/7,8:30,323
2019/6/7,8:35,327
2019/6/7,8:40,331
2019/6/7,8:45,333
2019/6/7,8:50,337
2019/6/7,8:55,340
2019/6/7,9:00,340
2019/6/7,9:05,344
2019/6/7,9:10,345
2019/6/7,9:15,345
2019/6/7,9:20,347
2019/6/7,9:25,350
2019/6/7,9:30,353
2019/6/7,9:35,353
2019/6/7,9:40,354
2019/6/7,9:45,353
2019/6/7,9:50,354
2019/6/7,9:55,355
2019/6/7,10:00,355
2019/6/7,10:05,354
2019/6/7,10:10,352
2019/6/7,10:15,352
2019/6/7,10:20,355
2019/6/7,10:25,354
2019/6/7,10:30,356
2019/6/7,10:35,356
2019/6/7,10:40,358
2019/6/7,10:45,357
2019/6/7,10:50,356
2019/6/7,10:55,358
2019/6/7,11:00,356
2019/6/7,11:05,357
2019/6/7,11:10,357
2019/6/7,11:15,356
2019/6/7,11:20,356
2019/6/7,11:25,354
2019/6/7,11:30,353
2019/6/7,11:35,354
2019/6/7,11:40,355
2019/6/7,11:45,353
