2020/12/15 23:50 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
466,18:00～19:00,12月15日,15:00,7,93

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
434,18:00～19:00,12月15日,15:00

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
466,18:00～19:00,12月15日,15:00,7,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
434,18:00～19:00,12月15日,15:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/15,0:00,297,297,65,457
2020/12/15,1:00,302,302,64,471
2020/12/15,2:00,322,323,70,457
2020/12/15,3:00,338,339,74,458
2020/12/15,4:00,342,343,73,468
2020/12/15,5:00,346,347,76,458
2020/12/15,6:00,361,361,78,463
2020/12/15,7:00,380,380,82,466
2020/12/15,8:00,415,415,83,499
2020/12/15,9:00,414,415,83,496
2020/12/15,10:00,399,402,83,481
2020/12/15,11:00,388,390,84,463
2020/12/15,12:00,369,373,76,483
2020/12/15,13:00,389,393,82,477
2020/12/15,14:00,397,400,84,470
2020/12/15,15:00,405,398,89,453
2020/12/15,16:00,423,414,95,443
2020/12/15,17:00,439,425,94,465
2020/12/15,18:00,442,434,95,466
2020/12/15,19:00,428,421,90,475
2020/12/15,20:00,412,402,87,472
2020/12/15,21:00,385,375,81,474
2020/12/15,22:00,349,345,73,476
2020/12/15,23:00,334,331,72,474

最大使用率(%),時間帯
95,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
482,18:00～19:00,12月15日,18:00,10,91

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
457,18:00～19:00,12月15日,18:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
471,17:00～18:00,12月15日,18:00,10,91

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
429,17:00～18:00,12月15日,18:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW)
2020/12/15,0:00,300,0
2020/12/15,0:05,300,0
2020/12/15,0:10,299,0
2020/12/15,0:15,298,0
2020/12/15,0:20,297,0
2020/12/15,0:25,295,0
2020/12/15,0:30,295,0
2020/12/15,0:35,295,0
2020/12/15,0:40,295,0
2020/12/15,0:45,295,0
2020/12/15,0:50,295,0
2020/12/15,0:55,296,0
2020/12/15,1:00,296,0
2020/12/15,1:05,298,0
2020/12/15,1:10,298,0
2020/12/15,1:15,299,0
2020/12/15,1:20,299,0
2020/12/15,1:25,300,0
2020/12/15,1:30,302,0
2020/12/15,1:35,302,0
2020/12/15,1:40,303,0
2020/12/15,1:45,303,0
2020/12/15,1:50,306,0
2020/12/15,1:55,309,0
2020/12/15,2:00,311,0
2020/12/15,2:05,313,0
2020/12/15,2:10,317,0
2020/12/15,2:15,318,0
2020/12/15,2:20,319,0
2020/12/15,2:25,321,0
2020/12/15,2:30,323,0
2020/12/15,2:35,325,0
2020/12/15,2:40,326,0
2020/12/15,2:45,327,0
2020/12/15,2:50,329,0
2020/12/15,2:55,330,0
2020/12/15,3:00,334,0
