2020/03/31 00:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
844,09:00～10:00,03月30日,06:30,11,90

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
761,9:00～10:00,03月30日,06:30

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
789,09:00～10:00,03月30日,06:30,11,90

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
712,09:00～10:00,03月30日,06:30

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/3/30,0:00,537,542,87,614
2020/3/30,1:00,543,569,85,632
2020/3/30,2:00,582,606,86,671
2020/3/30,3:00,626,646,87,715
2020/3/30,4:00,636,656,87,727
2020/3/30,5:00,633,655,87,726
2020/3/30,6:00,653,683,86,757
2020/3/30,7:00,694,715,87,792
2020/3/30,8:00,747,749,90,830
2020/3/30,9:00,764,761,90,844
2020/3/30,10:00,735,739,89,819
2020/3/30,11:00,717,712,90,789
2020/3/30,12:00,675,668,91,740
2020/3/30,13:00,687,689,89,764
2020/3/30,14:00,680,675,90,748
2020/3/30,15:00,671,668,90,741
2020/3/30,16:00,678,670,91,742
2020/3/30,17:00,689,677,91,751
2020/3/30,18:00,724,708,92,784
2020/3/30,19:00,716,712,90,789
2020/3/30,20:00,691,689,90,763
2020/3/30,21:00,652,661,88,740
2020/3/30,22:00,614,626,88,695
2020/3/30,23:00,585,600,87,671

最大使用率(%),時間帯
92,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
857,09:00～10:00,03月30日,15:20,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
760,9:00～10:00,03月30日,15:20

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
797,09:00～10:00,03月30日,15:20,13,88

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
708,09:00～10:00,03月30日,15:20

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/3/30,0:00,540,0
2020/3/30,0:05,536,0
2020/3/30,0:10,536,0
2020/3/30,0:15,540,0
2020/3/30,0:20,544,0
2020/3/30,0:25,540,0
2020/3/30,0:30,538,0
2020/3/30,0:35,540,0
2020/3/30,0:40,538,0
2020/3/30,0:45,531,0
2020/3/30,0:50,534,0
2020/3/30,0:55,530,0
2020/3/30,1:00,532,0
2020/3/30,1:05,531,0
2020/3/30,1:10,530,0
2020/3/30,1:15,532,0
2020/3/30,1:20,540,0
2020/3/30,1:25,545,0
2020/3/30,1:30,545,0
2020/3/30,1:35,549,0
2020/3/30,1:40,555,0
2020/3/30,1:45,550,0
2020/3/30,1:50,553,0
2020/3/30,1:55,558,0
2020/3/30,2:00,564,0
2020/3/30,2:05,563,0
2020/3/30,2:10,565,0
2020/3/30,2:15,570,0
2020/3/30,2:20,572,0
2020/3/30,2:25,577,0
2020/3/30,2:30,586,0
2020/3/30,2:35,590,0
2020/3/30,2:40,591,0
2020/3/30,2:45,599,0
2020/3/30,2:50,604,0
2020/3/30,2:55,606,0
2020/3/30,3:00,609,0
2020/3/30,3:05,617,0
2020/3/30,3:10,621,0
2020/3/30,3:15,623,0
2020/3/30,3:20,624,0
2020/3/30,3:25,625,0
2020/3/30,3:30,634,0
2020/3/30,3:35,634,0
2020/3/30,3:40,632,0
2020/3/30,3:45,631,0
