2018/5/31 0:09 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1394,14:00～15:00,5/30,9:00,28,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1090,14:00～15:00,5/30,9:00

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2018/5/30,0:00,794,785,75
2018/5/30,1:00,781,780,74
2018/5/30,2:00,801,800,76
2018/5/30,3:00,852,850,79
2018/5/30,4:00,891,885,82
2018/5/30,5:00,884,885,81
2018/5/30,6:00,873,875,77
2018/5/30,7:00,888,875,75
2018/5/30,8:00,943,940,76
2018/5/30,9:00,991,1000,78
2018/5/30,10:00,1047,1030,82
2018/5/30,11:00,1073,1060,82
2018/5/30,12:00,1065,1020,78
2018/5/30,13:00,1102,1060,80
2018/5/30,14:00,1102,1090,79
2018/5/30,15:00,1081,1085,82
2018/5/30,16:00,1094,1085,86
2018/5/30,17:00,1073,1060,85
2018/5/30,18:00,1055,1060,87
2018/5/30,19:00,1047,1050,91
2018/5/30,20:00,1006,1005,90
2018/5/30,21:00,968,950,88
2018/5/30,22:00,925,880,86
2018/5/30,23:00,863,800,82

最大使用率(%),時間帯
91,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1217,14:00～15:00,5/30,18:00,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1070,14:00～15:00,5/30,18:00

DATE,TIME,当日実績(５分間隔値）(万kW)
2018/5/30,0:00,832
2018/5/30,0:05,824
2018/5/30,0:10,817
2018/5/30,0:15,811
2018/5/30,0:20,797
2018/5/30,0:25,804
2018/5/30,0:30,798
2018/5/30,0:35,783
2018/5/30,0:40,783
2018/5/30,0:45,775
2018/5/30,0:50,777
2018/5/30,0:55,775
2018/5/30,1:00,776
2018/5/30,1:05,791
2018/5/30,1:10,794
2018/5/30,1:15,787
2018/5/30,1:20,775
2018/5/30,1:25,780
2018/5/30,1:30,775
2018/5/30,1:35,785
2018/5/30,1:40,791
2018/5/30,1:45,792
2018/5/30,1:50,777
2018/5/30,1:55,791
2018/5/30,2:00,783
2018/5/30,2:05,792
2018/5/30,2:10,788
2018/5/30,2:15,788
2018/5/30,2:20,796
2018/5/30,2:25,795
2018/5/30,2:30,801
2018/5/30,2:35,805
2018/5/30,2:40,802
2018/5/30,2:45,817
2018/5/30,2:50,826
2018/5/30,2:55,824
2018/5/30,3:00,817
2018/5/30,3:05,818
2018/5/30,3:10,830
2018/5/30,3:15,840
2018/5/30,3:20,845
2018/5/30,3:25,857
2018/5/30,3:30,849
2018/5/30,3:35,864
2018/5/30,3:40,872
2018/5/30,3:45,875
2018/5/30,3:50,876
2018/5/30,3:55,873
2018/5/30,4:00,882
2018/5/30,4:05,886
2018/5/30,4:10,871
2018/5/30,4:15,901
2018/5/30,4:20,889
2018/5/30,4:25,898
2018/5/30,4:30,898
2018/5/30,4:35,898
2018/5/30,4:40,891
2018/5/30,4:45,891
2018/5/30,4:50,901
2018/5/30,4:55,901
2018/5/30,5:00,899
2018/5/30,5:05,879
2018/5/30,5:10,902
